name,actual_price,discount_price,rating
,,"₦ 613,999",
,,"₦ 326,139",
,,"₦ 250,000",
,,"₦ 380,000",
,,"₦ 208,000",
Hp Notebook 14S-11th Gen-Intel® Core™ I3-8GB Ddr4-ram -512GB SSD- Win 10,"₦ 425,000","₦ 340,100",
"Lenovo IdeaPad 130 15IKB Intel Core I3-12B RAM, 256GB SSD , DVD±RW Win 10 Home, 1 Year Warranty","₦ 338,000","₦ 270,750",
Hp 2023 Notebook 14 Intel Celeron Dual Core N4020 4GB RAM 258GB SSD WIN 10 (BLACK),"₦ 275,000","₦ 207,100",
Hp 2023 Notebook 14 Intel Celeron Dual Core N4020 4GB RAM 128GB SSD WIN 10 (BLACK),"₦ 255,000","₦ 204,250",
Hp Notebook 14S-11th Gen-Intel® Core™ I3-16GB Ddr4-ram -512GB SSD- Win 10,"₦ 450,000","₦ 359,100",
"Hp Probook 450 G8 11th Gen Intel® Core™ I5-16gb Ram- 1TB Ssd,15.6""FingerPrint Reader.Win 10 Pro","₦ 725,000","₦ 625,100",
"DELL 12.3"" Latitude 5290 Multi-Touch 2-in-1 Laptop PC Windows 10 Pro (No Keyboard)","₦ 595,000","₦ 535,000",
"Apple MacBook Pro 13.3"" (2020) - Intel® Core™ I5, 2.0Ghz,1 TB SSD, 16GB RAM Space Grey","₦ 1,350,000","₦ 1,220,750",
"Hp Probook 450 G8 11th Gen Intel® Core™ I5-8gb Ram- 512 Gb Ssd,15.6"",FingerPrint.Win 10 Pro","₦ 650,000","₦ 539,600",
"Apple MacBook Pro 13.3"" (2019) - Intel® Core™ I7, 2.8Ghz,512 GB SSD, 16GB RAM Silver","₦ 1,950,000","₦ 1,700,500",
DELL Latitude 9420-11th Gen Intel Core I7-5125GB SSD-16GB RAM-Wins 10 Pro,"₦ 1,450,000","₦ 1,195,100",
"Hp Probook 450 G8 11th Gen Intel® Core™ I5-16gb Ram- 512 Gb Ssd,15.6""FingerPrint Reader.Win 10 Pro","₦ 658,000","₦ 555,750",
Hp 255 AMD Athlon Gold 8GB RAM 2.4GHz To 3.3GHz 1TB HDD Windows 11 Pro + Free Mouse,"₦ 289,900","₦ 265,500",4.3 out of 5(44)
Hp 15 Intel Pentium Silver 8GB RAM 1TB HDD Windows 10 + Free Mouse,"₦ 338,000","₦ 291,000",4.4 out of 5(21)
Hp ProBook 11 X360- Touchscreen Intel Celeron 256GB 4GB RAM Windows 10,,"₦ 250,000",3.9 out of 5(15)
Hp Stream 11-Intel Celeron 64GB SSD/4GB Ram+pouch Mouse,"₦ 150,000","₦ 104,000",4.5 out of 5(23)
Hp 255 AMD Athlon Gold 12GB RAM 2.4GHz To 3.3GHz 1TB HDD Windows 11 Pro + Free Mouse,"₦ 299,950","₦ 280,500",4.6 out of 5(16)
Lenovo AMD RYZEN 3 1TB 8GB RAM 1TB HDD 2.6 To 3.4ghz Win 10+32GB Flash,"₦ 272,800","₦ 260,600",4.1 out of 5(86)
Lenovo V15 Intel Core I3 12GB RAM 1TB HDD Win 11 Pro +Led Lamp For Keyboard,"₦ 310,000","₦ 300,600",4.1 out of 5(27)
"Hp 15 Intel Core I3 15.6"" 4GB RAM/1TB HDD Win 10 - Black",,"₦ 326,139",
Hp Stream 11 PRO Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD,"₦ 140,900","₦ 139,000",
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 191,200","₦ 185,000",3.8 out of 5(12)
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 250,000","₦ 170,000",
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 120,000","₦ 90,000",3.5 out of 5(2)
"Hp 14 Intel Celeron N4020 14.1"" 8GB RAM/1TB HDD Win 10 + 32gb Flash And Led Lamp","₦ 269,900","₦ 248,900",4.3 out of 5(104)
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,"₦ 195,000","₦ 138,000",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 575,000","₦ 375,000",4.6 out of 5(50)
Hp ProBook 11 X360- 128GB SSD TOUCHSCREEN Intel CELERON 4GB RAM WIN10 Pro,,"₦ 180,000",4 out of 5(53)
Hp EliteBook 840 G5 Core I5 16GB RAM/1TB SSD/Backlit/FP Reader Win11,"₦ 796,500","₦ 395,000",4.3 out of 5(16)
"Thinkpad X1 Refurbished Carbon14"" 256GB SSD 8GB RAM","₦ 219,431","₦ 208,000",5 out of 5(2)
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 195,000","₦ 174,000",4.1 out of 5(11)
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,16GB WINDOWS 10",,"₦ 128,000",
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 175,000","₦ 165,000",3.8 out of 5(10)
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 380,000","₦ 103,000",4.1 out of 5(61)
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,"₦ 310,000","₦ 103,500",5 out of 5(2)
"Lenovo Ideapad Intel Celeron,4GB 500GB Windows 10 +Free Mouse","₦ 195,950","₦ 185,900",4.1 out of 5(11)
"Hp Stream 11 Intel Celeron, 4GB RAM- 64GB HDD WIN 10+32GB FLASH",,"₦ 105,000",4 out of 5(5)
Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM Win 10 PRO + 32GB Flash& Led Lamp,"₦ 218,500","₦ 192,900",4.3 out of 5(26)
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD,,"₦ 130,000",4 out of 5(2)
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,"₦ 90,000",3.1 out of 5(21)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Lenovo IDEAPAD 15 12TH GEN, INTEL CORE I3 12GB RAM 256GB SSD 15.6""FHD WINDOWS 11+ Mouse","₦ 370,000","₦ 332,975",4.4 out of 5(5)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + MOUSE,"₦ 655,000","₦ 396,000",4.8 out of 5(9)
"Lenovo V14 AMD RYZEN 3 3250U 1TB 8GB RAM 14.0""SCREEN WINS 10 +FREE Mouse",,"₦ 260,500",4.4 out of 5(40)
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 120,000","₦ 90,000",
"Lenovo Ideapad  Intel Celeron 4GB RAM 1TB HDD 15.6"" Wins 10pro",,"₦ 193,800",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 550,000","₦ 375,000",4 out of 5(2)
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,,"₦ 105,000",
Anti Blue Ray Light Blocking Glasses For Computers / Phones,"₦ 5,000","₦ 3,499",
